date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-09-24,86.327411,87.200173,86.25152,87.139458,209671800,0.020412,0.17008,68.2
2010-09-27,87.169828,87.268486,86.638585,86.722061,128761800,-0.004801,0.170634,68.2
2010-09-28,86.835897,87.30643,85.894834,87.025627,209207500,0.003494,0.17053,68.2
2010-09-29,86.805534,87.207768,86.532322,86.87384,179665800,-0.001746,0.168117,68.2
2010-09-30,87.314035,87.875636,86.206003,86.615822,287106700,-0.002974,0.168643,68.2
2010-10-01,87.268499,87.367162,86.464043,86.98011,174638700,0.004197,0.158822,67.7
2010-10-04,86.797965,87.162244,85.894845,86.327431,166153200,-0.007532,0.160573,67.7
2010-10-05,87.124306,88.277866,87.025643,88.065369,229634100,0.019932,0.167626,67.7
2010-10-06,88.050156,88.285426,87.701053,88.057747,148626600,-8.7e-05,0.159237,67.7
2010-10-07,88.414443,88.43721,87.420257,87.9515,164860000,-0.001207,0.159769,67.7
2010-10-08,88.072954,88.687679,87.739026,88.444824,177760100,0.005593,0.157106,67.7
2010-10-11,88.581399,88.771129,88.224705,88.528275,103098300,0.000943,0.153214,67.7
2010-10-12,88.239869,89.059506,87.769341,88.801476,182210000,0.003081,0.14373,67.7
2010-10-13,89.294803,89.970244,89.0823,89.492119,194347200,0.007747,0.143755,67.7
2010-10-14,89.408619,89.560407,88.581397,89.142998,217764300,-0.003909,0.123359,67.7
2010-10-15,89.765326,89.81845,88.611767,89.32515,243705000,0.002041,0.121853,67.7
2010-10-18,89.355524,90.061322,89.029187,89.765343,141204800,0.004916,0.118135,67.7
2010-10-19,88.938123,89.439009,88.05018,88.58902,280604700,-0.013191,0.120105,67.7
2010-10-20,88.748387,89.886771,88.695263,89.454185,200051800,0.009719,0.12129,67.7
2010-10-21,89.856394,90.380046,88.953275,89.651482,221585500,0.002203,0.121102,67.7
2010-10-22,89.788086,89.95505,89.552822,89.818443,108212400,0.001861,0.120823,67.7
2010-10-25,90.418004,90.888538,90.015776,90.084076,151145700,0.002953,0.117888,67.7
2010-10-26,89.62874,90.190341,89.454191,90.099274,158982900,0.000169,0.117763,67.7
2010-10-27,89.469377,89.939911,88.991258,89.841248,190024000,-0.002868,0.118424,67.7
2010-10-28,90.357278,90.395226,89.423806,89.856392,168576000,0.000169,0.118368,67.7
2010-10-29,89.765371,90.099298,89.605998,89.924744,144305500,0.00076,0.118335,67.7
2010-11-01,90.364889,90.880957,89.439003,89.95507,174074800,0.000337,0.111293,71.6
2010-11-02,90.630524,90.88097,90.387669,90.668472,158345900,0.007899,0.112478,71.6
2010-11-03,90.827854,91.085885,89.894377,91.032761,226702800,0.00401,0.110967,71.6
2010-11-04,92.042119,92.831399,91.047933,92.785866,215039400,0.019075,0.117481,71.6
2010-11-05,92.846562,93.286739,92.725138,93.134956,180654100,0.003755,0.105005,71.6
2010-11-08,92.846564,93.112191,92.543,92.960403,156107100,-0.001876,0.103639,71.6
